date,side,symbol,shares,price,value,rating,entry_date,entry_price,cost_basis,pnl,pnl_pct,holding_days
2026-03-31,BUY,ADM,283.74109360795075,72.21388244628906,20490.045978986054,83.75,,,,,,
2026-03-31,BUY,CASY,28.170612992014558,727.3553466796875,20490.045978986058,83.75,,,,,,
2026-04-01,SELL,TRGP,82.13198735042138,243.5667266845703,20004.619315040673,79.0,2026-03-31,249.47705078125,20490.045978986058,-485.42666394538537,-0.02369085283865266,1.0
2026-04-01,SELL,TGT,170.6570724318661,119.3226318359375,20363.25102398648,79.0,2026-03-31,120.06561279296875,20490.045978986058,-126.7949549995792,-0.006188124474177173,1.0
2026-04-01,SELL,OKE,229.40134693330424,86.32552337646484,19803.191337283475,74.6,2026-03-31,89.31964111328125,20490.045978986058,-686.8546417025827,-0.03352138118220911,1.0
2026-04-01,SELL,ADM,283.74109360795075,71.89598083496094,20399.844228128084,72.75,2026-03-31,72.21388244628906,20490.045978986054,-90.20175085797018,-0.0044022229598937096,1.0
2026-04-02,SELL,CASY,28.170612992014558,742.904541015625,20928.076314961378,83.75,2026-03-31,727.3553466796875,20490.045978986058,438.03033597531976,0.02137771366762914,2.0
2026-04-08,BUY,CASY,26.786240566823135,757.8441772460938,20299.79644388002,93.75,,,,,,
2026-04-08,BUY,EIX,273.0302200469546,74.3499984741211,20299.79644388002,90.0,,,,,,
2026-04-08,BUY,EQIX,20.04618359103979,1012.6514282226562,20299.79644388002,90.0,,,,,,
2026-04-08,BUY,MRK,165.98291980331354,122.3005142211914,20299.79644388002,90.0,,,,,,
2026-04-08,BUY,TGT,166.4359050644243,121.9676513671875,20299.79644388002,90.0,,,,,,
2026-04-09,SELL,CASY,26.786240566823135,758.2339477539062,20310.236930468138,83.75,2026-04-08,757.8441772460938,20299.79644388002,10.440486588118802,0.0005143148413818897,1.0
2026-04-09,SELL,MRK,165.98291980331354,121.80408477783203,20217.397635394896,79.0,2026-04-08,122.3005142211914,20299.79644388002,-82.39880848512257,-0.004059095307330737,1.0
2026-04-10,SELL,EQIX,20.04618359103979,1025.1695556640625,20550.73712478648,79.0,2026-04-08,1012.6514282226562,20299.79644388002,250.94068090646033,0.012361733852859096,2.0
2026-04-10,SELL,TGT,166.4359050644243,120.74916076660156,20096.995857959006,79.0,2026-04-08,121.9676513671875,20299.79644388002,-202.8005859210134,-0.00999027682280793,2.0
2026-04-10,SELL,EIX,273.0302200469546,75.72000122070312,20673.848595244242,74.0,2026-04-08,74.3499984741211,20299.79644388002,374.0521513642234,0.018426399121701173,2.0
2026-04-15,BUY,CBOE,66.92854913901645,304.3520812988281,20369.843228770547,83.75,,,,,,
2026-04-15,BUY,C,155.41195133819795,131.0699920654297,20369.84322877055,83.75,,,,,,
2026-04-15,BUY,ALL,93.83289374631602,217.0863800048828,20369.84322877055,79.0,,,,,,
2026-04-15,BUY,BNY,154.97650968009137,131.43826293945312,20369.84322877055,79.0,,,,,,
2026-04-15,BUY,STT,142.7059159651362,142.74000549316406,20369.84322877055,79.0,,,,,,
2026-04-16,SELL,BNY,154.97650968009137,134.30686950683594,20814.409862228928,79.0,2026-04-15,131.43826293945312,20369.84322877055,444.5666334583766,0.02182474496565917,1.0
2026-04-16,SELL,C,155.41195133819795,128.73104858398438,20006.343458249376,72.75,2026-04-15,131.0699920654297,20369.84322877055,-363.4997705211754,-0.017844995979535327,1.0
2026-04-16,SELL,STT,142.7059159651362,141.89999389648438,20249.96860444504,68.0,2026-04-15,142.74000549316406,20369.84322877055,-119.87462432551183,-0.0058849065738611,1.0
2026-04-16,SELL,ALL,93.83289374631602,212.7492218017578,19962.87512393576,57.0,2026-04-15,217.0863800048828,20369.84322877055,-406.96810483479203,-0.019978951249854816,1.0
2026-04-17,SELL,CBOE,66.92854913901645,299.3126525878906,20032.561576657998,66.75,2026-04-15,304.3520812988281,20369.843228770547,-337.28165211254964,-0.016557891404690342,2.0
2026-04-22,BUY,CASY,25.835991140801035,782.3671875,20213.231725103422,90.0,,,,,,
2026-04-22,BUY,CAT,24.989469070582807,808.8699951171875,20213.231725103422,83.75,,,,,,
2026-04-22,BUY,EME,23.5037578198877,860.0,20213.231725103422,83.75,,,,,,
2026-04-22,BUY,HUBB,36.87853828453398,548.1028442382812,20213.231725103422,83.75,,,,,,
2026-04-22,BUY,PWR,32.93237114322373,613.780029296875,20213.231725103426,83.75,,,,,,
2026-04-23,SELL,EME,23.5037578198877,873.1099853515625,20521.36564582882,83.75,2026-04-22,860.0,20213.231725103422,308.13392072539864,0.015244169013444685,1.0
2026-04-23,SELL,HUBB,36.87853828453398,556.1785278320312,20511.051131689313,83.75,2026-04-22,548.1028442382812,20213.231725103422,297.81940658589156,0.01473388375674834,1.0
2026-04-23,SELL,CAT,24.989469070582807,835.239990234375,20872.2039024758,78.75,2026-04-22,808.8699951171875,20213.231725103422,658.9721773723795,0.03260103017341765,1.0
2026-04-23,SELL,PWR,32.93237114322373,633.4400024414062,20860.681257364937,78.75,2026-04-22,613.780029296875,20213.231725103426,647.4495322615112,0.032030975603837955,1.0
2026-04-28,SELL,CASY,25.835991140801035,784.0659790039062,20257.12168734841,79.0,2026-04-22,782.3671875,20213.231725103422,43.889962244989874,0.002171348097220971,6.0
2026-04-29,BUY,SBUX,196.44788429588831,104.88524627685547,20604.484724941452,93.75,,,,,,
2026-04-29,BUY,ADM,279.2558771980147,73.78353118896484,20604.484724941452,88.75,,,,,,
2026-04-29,BUY,STX,32.05219494755435,642.8416137695312,20604.484724941452,87.5,,,,,,
2026-04-29,BUY,VTR,235.83019431400342,87.37000274658203,20604.484724941452,84.6,,,,,,
2026-04-29,BUY,FTV,334.0042291579689,61.689292907714844,20604.484724941452,84.0,,,,,,
2026-04-30,SELL,ADM,279.2558771980147,74.05176544189453,20679.390716537888,88.75,2026-04-29,73.78353118896484,20604.484724941452,74.90599159643534,0.0036354217344616553,1.0
2026-04-30,SELL,STX,32.05219494755435,673.1600341796875,21576.25664642969,82.5,2026-04-29,642.8416137695312,20604.484724941452,971.7719214882381,0.04716312659408178,1.0
2026-04-30,SELL,SBUX,196.44788429588831,104.71623992919922,20571.28378551181,72.75,2026-04-29,104.88524627685547,20604.484724941452,-33.20093942964377,-0.0016113452907392765,1.0
2026-04-30,SELL,FTV,334.0042291579689,59.73122024536133,19950.480174716777,67.35,2026-04-29,61.689292907714844,20604.484724941452,-654.0045502246758,-0.03174088354818269,1.0
2026-05-01,SELL,VTR,235.83019431400342,88.0199966430664,20757.77291185228,79.0,2026-04-29,87.37000274658203,20604.484724941452,153.2881869108278,0.0074395544929728085,2.0
2026-05-06,BUY,JBL,55.6258093200893,372.25592041015625,20707.03684700969,93.75,,,,,,
2026-05-06,BUY,FRT,177.33182703006645,116.7699966430664,20707.03684700969,90.0,,,,,,
2026-05-06,BUY,HST,955.1216123399312,21.68000030517578,20707.03684700969,90.0,,,,,,
2026-05-06,BUY,ROST,90.63664602006621,228.4620819091797,20707.03684700969,90.0,,,,,,
2026-05-06,BUY,VTRS,1307.7811352992542,15.833717346191406,20707.03684700969,89.0,,,,,,
2026-05-07,SELL,FRT,177.33182703006645,115.66999816894531,20511.972107863512,79.0,2026-05-06,116.7699966430664,20707.03684700969,-195.0647391461789,-0.009420215001662503,1.0
2026-05-07,SELL,ROST,90.63664602006621,224.04074096679688,20306.301333080915,69.6,2026-05-06,228.4620819091797,20707.03684700969,-400.7355139287756,-0.019352624756962557,1.0
2026-05-07,SELL,JBL,55.6258093200893,349.5210876464844,19442.39337477356,66.5,2026-05-06,372.25592041015625,20707.03684700969,-1264.64347223613,-0.06107312608654374,1.0
2026-05-08,SELL,VTRS,1307.7811352992542,17.044822692871094,22290.89757225745,77.75,2026-05-06,15.833717346191406,20707.03684700969,1583.8607252477595,0.07648900887895436,2.0
2026-05-11,SELL,HST,955.1216123399312,21.780000686645508,20802.549372593665,79.0,2026-05-06,21.68000030517578,20707.03684700969,95.51252558397391,0.004612563656000202,5.0
2026-05-13,BUY,CSCO,202.91373510154713,101.87000274658203,20670.822752113825,93.75,,,,,,
2026-05-13,BUY,GOOGL,51.37143930197265,402.3796691894531,20670.822752113825,83.75,,,,,,
2026-05-13,BUY,GOOG,51.832556130480086,398.79998779296875,20670.822752113825,83.75,,,,,,
2026-05-13,BUY,ADI,47.936912007595964,431.2088928222656,20670.822752113825,83.75,,,,,,
2026-05-13,BUY,CASY,23.268520749427367,888.3599853515625,20670.822752113825,83.75,,,,,,
2026-05-14,SELL,CSCO,202.91373510154713,115.52999877929688,23442.62356858431,82.5,2026-05-13,101.87000274658203,20670.822752113825,2771.8008164704843,0.13409242823617343,1.0
2026-05-14,SELL,GOOGL,51.37143930197265,400.8305969238281,20591.2446802459,72.75,2026-05-13,402.3796691894531,20670.822752113825,-79.57807186792343,-0.0038497776707889226,1.0
2026-05-14,SELL,GOOG,51.832556130480086,396.9311218261719,20573.954651989483,72.75,2026-05-13,398.79998779296875,20670.822752113825,-96.86810012434216,-0.004686223731197942,1.0
2026-05-14,SELL,ADI,47.936912007595964,425.6241760253906,20403.108674434687,72.75,2026-05-13,431.2088928222656,20670.822752113825,-267.7140776791384,-0.01295130246577929,1.0
2026-05-14,SELL,CASY,23.268520749427367,877.47998046875,20417.66113274423,72.75,2026-05-13,888.3599853515625,20670.822752113825,-253.16161936959543,-0.012247292834229677,1.0
2026-05-20,BUY,HST,945.5479490132537,22.299999237060547,21085.718541599723,90.0,,,,,,
2026-05-20,BUY,STT,136.8580355631955,154.07000732421875,21085.71854159972,90.0,,,,,,
2026-05-20,BUY,EBAY,177.74188391239733,118.63111877441406,21085.718541599723,83.75,,,,,,
2026-05-20,BUY,ECHO,148.70040964599497,141.8000030517578,21085.718541599723,83.75,,,,,,
2026-05-20,BUY,JBHT,80.21043118513096,262.8800048828125,21085.718541599723,83.75,,,,,,
2026-05-21,SELL,STT,136.8580355631955,153.69000244140625,21033.71181983358,79.0,2026-05-20,154.07000732421875,21085.71854159972,-52.00672176613807,-0.0024664429463731453,1.0
2026-05-21,SELL,EBAY,177.74188391239733,116.8061752319336,20761.349638325482,72.75,2026-05-20,118.63111877441406,21085.718541599723,-324.36890327424044,-0.015383345966337239,1.0
2026-05-21,SELL,JBHT,80.21043118513096,259.2300109863281,20792.950957339614,72.75,2026-05-20,262.8800048828125,21085.718541599723,-292.7675842601093,-0.013884638727511807,1.0
2026-05-21,SELL,ECHO,148.70040964599497,128.44000244140625,19099.080977969705,65.25,2026-05-20,141.8000030517578,21085.718541599723,-1986.6375636300181,-0.09421720961088466,1.0
2026-05-22,SELL,HST,945.5479490132537,22.3799991607666,21161.3623053812,79.0,2026-05-20,22.299999237060547,21085.718541599723,75.6437637814779,0.003587440647670667,2.0
2026-05-28,BUY,MS,100.93572705941894,203.7899932861328,20569.69113976992,90.0,,,,,,
2026-05-28,BUY,DELL,64.87838489746851,317.04998779296875,20569.69113976992,87.5,,,,,,
2026-05-28,BUY,GS,20.488853708044125,1003.9454345703125,20569.69113976992,83.75,,,,,,
2026-05-28,BUY,JBHT,75.47956835833415,272.5199890136719,20569.69113976992,83.75,,,,,,
2026-05-28,BUY,MGM,479.14491016879794,42.93000030517578,20569.69113976992,83.75,,,,,,
2026-05-29,SELL,GS,20.488853708044125,1021.06005859375,20920.350167654306,83.75,2026-05-28,1003.9454345703125,20569.69113976992,350.6590278843869,0.01704736476117595,1.0
2026-05-29,SELL,MGM,479.14491016879794,43.66999816894531,20924.257349730873,83.75,2026-05-28,42.93000030517578,20569.69113976992,354.56620996095444,0.01723731326599396,1.0
2026-05-29,SELL,DELL,64.87838489746851,420.9100036621094,27307.96122478521,82.5,2026-05-28,317.04998779296875,20569.69113976992,6738.2700850152905,0.32758246291736304,1.0
2026-06-01,SELL,JBHT,75.47956835833415,279.4599914550781,21093.519528453045,83.75,2026-05-28,272.5199890136719,20569.69113976992,523.8283886831268,0.02546603082777188,4.0
2026-06-03,SELL,MS,100.93572705941894,210.13999938964844,21210.633622660018,79.0,2026-05-28,203.7899932861328,20569.69113976992,640.9424828900992,0.03115955794060933,6.0
2026-06-04,BUY,BNY,154.77950088437242,144.02000427246094,22291.34437865669,90.0,,,,,,
2026-06-04,BUY,HST,911.7113980808218,24.450000762939453,22291.34437865669,90.0,,,,,,
2026-06-04,BUY,NTRS,129.4052309851437,172.25999450683594,22291.34437865669,90.0,,,,,,
2026-06-04,BUY,STT,136.96678573675385,162.75,22291.34437865669,90.0,,,,,,
2026-06-04,BUY,GWW,17.288555234784013,1289.3699951171875,22291.34437865669,90.0,,,,,,
2026-06-05,SELL,HST,911.7113980808218,24.6200008392334,22446.335385888488,85.0,2026-06-04,24.450000762939453,22291.34437865669,154.991007231798,0.00695296813861964,1.0
2026-06-05,SELL,BNY,154.77950088437242,142.38999938964844,22039.05303645588,79.0,2026-06-04,144.02000427246094,22291.34437865669,-252.2913422008096,-0.01131790608566306,1.0
2026-06-05,SELL,NTRS,129.4052309851437,170.47000122070312,22059.709884002816,79.0,2026-06-04,172.25999450683594,22291.34437865669,-231.63449465387384,-0.010391230368126971,1.0
2026-06-05,SELL,STT,136.96678573675385,161.75,22154.377592919936,79.0,2026-06-04,162.75,22291.34437865669,-136.96678573675308,-0.0061443932411674,1.0
2026-06-09,SELL,GWW,17.288555234784013,1329.800048828125,22990.321595383517,90.0,2026-06-04,1289.3699951171875,22291.34437865669,698.9772167268275,0.03135644063693519,5.0
2026-06-11,BUY,KIM,867.4935727739854,25.75,22337.959498930126,100.0,,,,,,
2026-06-11,BUY,CSX,471.56343682951695,47.369998931884766,22337.959498930126,90.0,,,,,,
2026-06-11,BUY,FRT,179.10486914926437,124.72000122070312,22337.959498930126,90.0,,,,,,
2026-06-11,BUY,MAR,56.28249306981668,396.8900146484375,22337.959498930126,90.0,,,,,,
2026-06-11,BUY,MNST,242.72476143893297,92.02999877929688,22337.959498930126,90.0,,,,,,
2026-06-12,SELL,MAR,56.28249306981668,402.5400085449219,22655.955241253512,90.0,2026-06-11,396.8900146484375,22337.959498930126,317.99574232338637,0.014235666527133633,1.0
2026-06-12,SELL,MNST,242.72476143893297,92.83000183105469,22532.14004881846,90.0,2026-06-11,92.02999877929688,22337.959498930126,194.1805498883332,0.008692850835262436,1.0
2026-06-15,SELL,CSX,471.56343682951695,47.38999938964844,22347.390983531328,79.0,2026-06-11,47.369998931884766,22337.959498930126,9.4314846012021,0.00042221782171526545,4.0
2026-06-15,SELL,FRT,179.10486914926437,124.70999908447266,22336.168067629354,79.0,2026-06-11,124.72000122070312,22337.959498930126,-1.7914313007713645,-8.019672973519201e-05,4.0
2026-06-15,SELL,KIM,867.4935727739854,25.350000381469727,21990.962400743065,79.0,2026-06-11,25.75,22337.959498930126,-346.99709818706106,-0.015533965768166087,4.0
2026-06-18,BUY,IEX,99.46438481702776,224.92999267578125,22372.52334839514,100.0,,,,,,
2026-06-18,BUY,HST,894.5431085026179,25.010000228881836,22372.52334839514,95.0,,,,,,
2026-06-18,BUY,GWW,16.38520502146165,1365.4100341796875,22372.52334839514,95.0,,,,,,
2026-06-18,BUY,CAT,22.694328764051157,985.8200073242188,22372.52334839514,93.75,,,,,,
2026-06-18,BUY,C,156.3855985614142,143.05999755859375,22372.523348395138,89.0,,,,,,
2026-06-22,SELL,GWW,16.38520502146165,1341.4200439453125,21979.442439942042,84.0,2026-06-18,1365.4100341796875,22372.52334839514,-393.08090845309925,-0.01756980660303105,4.0
2026-06-22,SELL,CAT,22.694328764051157,1022.280029296875,23199.95907378713,77.5,2026-06-18,985.8200073242188,22372.52334839514,827.435725391988,0.03698446136391418,4.0
2026-06-23,SELL,C,156.3855985614142,144.97000122070312,22671.22041434861,79.0,2026-06-18,143.05999755859375,22372.523348395138,298.6970659534709,0.013351067347300254,5.0
2026-06-23,SELL,HST,894.5431085026179,24.81999969482422,22202.559680042083,79.0,2026-06-18,25.010000228881836,22372.52334839514,-169.9636683530589,-0.007596982499752357,5.0
2026-06-23,SELL,IEX,99.46438481702776,221.1699981689453,21998.5378078573,79.0,2026-06-18,224.92999267578125,22372.52334839514,-373.9855405378403,-0.01671628786408966,5.0
2026-06-26,BUY,MNST,232.52069435393852,96.37999725341797,22410.343883195434,100.0,,,,,,
2026-06-26,BUY,SPG,98.77184513852961,226.88999938964844,22410.343883195434,100.0,,,,,,
2026-06-26,BUY,CSX,470.2128400114188,47.65999984741211,22410.343883195434,90.0,,,,,,
2026-06-26,BUY,PSA,69.08456756131343,324.3900146484375,22410.343883195434,90.0,,,,,,
2026-06-26,BUY,BNY,156.10437631867953,143.55999755859375,22410.343883195434,89.0,,,,,,
